subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean,label_list,n_labels,y_admin,y_assessment,y_extenuating_circumstances,y_feedback,y_resources,y_timetabling,label_ids
Assignment 2 - Can I Use My Own Dataset?,"Dear Dr Smith,

For Assignment 2 in KV5002, the brief mentions using the provided dataset. However, I have access to a more relevant dataset from my part-time job that I think would make for a more interesting analysis. Would it be acceptable to use this instead, or do we strictly need to use the one provided?

I can provide details of the dataset if needed.

Best regards,
Isla Ferguson",Assignment 2 - Can I Use My Own Dataset?,"[ORGANIZATION],

For Assignment 2 in KV5002, the brief mentions using the provided dataset. However, I have access to a more relevant dataset from my part-time job that I think would make for a more interesting analysis. Would it be acceptable to use this instead, or do we strictly need to use the one provided?

I can provide details of the dataset if needed.

Best regards,
[PERSON]",Assignment 2 - Can I Use My Own Dataset?,"[ORGANIZATION], For Assignment 2 in KV5002, the brief mentions using the provided dataset. However, I have access to a more relevant dataset from my part-time job that I think would make for a more interesting analysis. Would it be acceptable to use this instead, or do we strictly need to use the one provided? I can provide details of the dataset if needed. Best regards, [PERSON]","Assignment 2 - Can I Use My Own Dataset? [SEP] [ORGANIZATION], For Assignment 2 in KV5002, the brief mentions using the provided dataset. However, I have access to a more relevant dataset from my part-time job that I think would make for a more interesting analysis. Would it be acceptable to use this instead, or do we strictly need to use the one provided? I can provide details of the dataset if needed. Best regards, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
pls help,"dr smith pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day??

im so stressed rn
connor",pls help,"[PERSON] pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day??

im so stressed rn
connor",pls help,[PERSON] pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day?? im so stressed rn connor,pls help [SEP] [PERSON] pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day?? im so stressed rn connor,['assessment'],1,0,1,0,0,0,0,[1]
Formal Request for Assessment Feedback - KV6003,"Dear Dr Smith,

I am writing to formally request detailed feedback on my KV6003 Computing Project interim submission, which was returned to me on 15th March with a grade of 52%. While I appreciate the grade, the written feedback was quite brief and I am struggling to understand specifically where I lost marks.

I would be grateful if you could provide more detailed commentary on:
- The literature review section
- My methodology justification
- The system design diagrams

I believe this will be essential for improving my final submission. I am happy to arrange a meeting at your convenience to discuss this further.

Yours sincerely,
Rebecca Lawrence
Student ID: W21045892",Formal Request for Assessment Feedback - KV6003,"[ORGANIZATION],

I am writing to formally request detailed feedback on my KV6003 Computing Project interim submission, which was returned to me on 15th March with a grade of 52%. While I appreciate the grade, the written feedback was quite brief and I am struggling to understand specifically where I lost marks.

I would be grateful if you could provide more detailed commentary on:
- The literature review section
- My methodology justification
- The system design diagrams

I believe this will be essential for improving my final submission. I am happy to arrange a meeting at your convenience to discuss this further.

Yours sincerely,
[PERSON] ID: [STUDENT_ID]",Formal Request for Assessment Feedback - KV6003,"[ORGANIZATION], I am writing to formally request detailed feedback on my KV6003 Computing Project interim submission, which was returned to me on 15th March with a grade of 52%. While I appreciate the grade, the written feedback was quite brief and I am struggling to understand specifically where I lost marks. I would be grateful if you could provide more detailed commentary on: - The literature review section - My methodology justification - The system design diagrams I believe this will be essential for improving my final submission. I am happy to arrange a meeting at your convenience to discuss this further. Yours sincerely, [PERSON] ID: [STUDENT_ID]","Formal Request for Assessment Feedback - KV6003 [SEP] [ORGANIZATION], I am writing to formally request detailed feedback on my KV6003 Computing Project interim submission, which was returned to me on 15th March with a grade of 52%. While I appreciate the grade, the written feedback was quite brief and I am struggling to understand specifically where I lost marks. I would be grateful if you could provide more detailed commentary on: - The literature review section - My methodology justification - The system design diagrams I believe this will be essential for improving my final submission. I am happy to arrange a meeting at your convenience to discuss this further. Yours sincerely, [PERSON] ID: [STUDENT_ID]",['assessment'],1,0,1,0,0,0,0,[1]
Re: Re: Re: Assignment Question,"hi again

sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not

sorry
jake",Re: Re: Re: Assignment Question,"hi again

sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not

sorry
jake",Re: Re: Re: Assignment Question,hi again sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not sorry jake,Re: Re: Re: Assignment Question [SEP] hi again sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not sorry jake,['assessment'],1,0,1,0,0,0,0,[1]
KV6003 Deadline Confirmation,"Dear Dr Smith,

Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but Blackboard shows May 6th. I want to make sure I don't submit late.

Thank you,
Hannah Wright",KV6003 Deadline Confirmation,"[ORGANIZATION],

Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but [PERSON] shows May 6th. I want to make sure I don't submit late.

Thank you,
[PERSON]",KV6003 Deadline Confirmation,"[ORGANIZATION], Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but [PERSON] shows May 6th. I want to make sure I don't submit late. Thank you, [PERSON]","KV6003 Deadline Confirmation [SEP] [ORGANIZATION], Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but [PERSON] shows May 6th. I want to make sure I don't submit late. Thank you, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
kv6003 deadline??,"hi

when is the kv6003 project due?? blackboard and the brief have different dates and i dont know which one is right. is it the 6th or 7th of may??

thx
josh",[PERSON] deadline??,"hi

when is the kv6003 project due?? blackboard and the brief have different dates and i dont know which one is right. is it the 6th or 7th of may??

thx
josh",[PERSON] deadline??,hi when is the kv6003 project due?? blackboard and the brief have different dates and i dont know which one is right. is it the 6th or 7th of may?? thx josh,[PERSON] deadline?? [SEP] hi when is the kv6003 project due?? blackboard and the brief have different dates and i dont know which one is right. is it the 6th or 7th of may?? thx josh,['assessment'],1,0,1,0,0,0,0,[1]
Clarification on KV6003 Submission Date,"Dear Dr Smith,

I'm a bit confused about the KV6003 submission date. The assignment brief states 7th May but I've seen 6th May mentioned on Blackboard. Several of us in the cohort are unsure which is correct. Could you clarify?

Best regards,
Isla Ferguson",Clarification on KV6003 Submission Date,"[ORGANIZATION],

I'm a bit confused about the [PERSON] submission date. The assignment brief states 7th May but I've seen 6th May mentioned on [PERSON]. Several of us in the cohort are unsure which is correct. Could you clarify?

Best regards,
[PERSON]",Clarification on KV6003 Submission Date,"[ORGANIZATION], I'm a bit confused about the [PERSON] submission date. The assignment brief states 7th May but I've seen 6th May mentioned on [PERSON]. Several of us in the cohort are unsure which is correct. Could you clarify? Best regards, [PERSON]","Clarification on KV6003 Submission Date [SEP] [ORGANIZATION], I'm a bit confused about the [PERSON] submission date. The assignment brief states 7th May but I've seen 6th May mentioned on [PERSON]. Several of us in the cohort are unsure which is correct. Could you clarify? Best regards, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
KV5002 Slides Not on Blackboard,"Dear Dr Smith,

I was looking for the Week 8 lecture slides for KV5002 on Blackboard but they don't appear to have been uploaded yet. Could you let me know when they'll be available?

Thank you,
Emily Chen",KV5002 Slides Not on Blackboard,"[ORGANIZATION],

I was looking for the Week 8 lecture slides for KV5002 on [PERSON] but they don't appear to have been uploaded yet. Could you let me know when they'll be available?

Thank you,
[PERSON]",KV5002 Slides Not on Blackboard,"[ORGANIZATION], I was looking for the Week 8 lecture slides for KV5002 on [PERSON] but they don't appear to have been uploaded yet. Could you let me know when they'll be available? Thank you, [PERSON]","KV5002 Slides Not on Blackboard [SEP] [ORGANIZATION], I was looking for the Week 8 lecture slides for KV5002 on [PERSON] but they don't appear to have been uploaded yet. Could you let me know when they'll be available? Thank you, [PERSON]",['resources'],1,0,0,0,0,1,0,[4]
week 8 slides?,"hi

are the kv5002 week 8 slides going to be uploaded?? they still arent on blackboard and its been a week since the lecture

cheers
ryan",week 8 slides?,"hi

are the kv5002 week 8 slides going to be uploaded?? they still arent on blackboard and its been a week since the lecture

cheers
ryan",week 8 slides?,hi are the kv5002 week 8 slides going to be uploaded?? they still arent on blackboard and its been a week since the lecture cheers ryan,week 8 slides? [SEP] hi are the kv5002 week 8 slides going to be uploaded?? they still arent on blackboard and its been a week since the lecture cheers ryan,['resources'],1,0,0,0,0,1,0,[4]
Missing Lecture Slides - KV5002 Week 8,"Hi Dr Smith,

Just wanted to flag that the slides from the Week 8 KV5002 lecture still haven't appeared on Blackboard. A few of us need them for the assignment. Any idea when they'll be up?

Thanks,
James",Missing Lecture Slides - KV5002 Week 8,"Hi [PERSON],

Just wanted to flag that the slides from the Week 8 KV5002 lecture still haven't appeared on [PERSON]. A few of us need them for the assignment. Any idea when they'll be up?

[SIGN_OFF]
[PERSON]",Missing Lecture Slides - KV5002 Week 8,"Hi [PERSON], Just wanted to flag that the slides from the Week 8 KV5002 lecture still haven't appeared on [PERSON]. A few of us need them for the assignment. Any idea when they'll be up? [SIGN_OFF] [PERSON]","Missing Lecture Slides - KV5002 Week 8 [SEP] Hi [PERSON], Just wanted to flag that the slides from the Week 8 KV5002 lecture still haven't appeared on [PERSON]. A few of us need them for the assignment. Any idea when they'll be up? [SIGN_OFF] [PERSON]",['resources'],1,0,0,0,0,1,0,[4]
KV4006 Marks - When?,"Dear Dr Smith,

We submitted the KV4006 coursework over four weeks ago and we still haven't received our grades. The module handbook states a three-week turnaround for feedback. Could you provide an update on when we can expect our results?

Thank you,
Priya Patel",KV4006 Marks - When?,"[ORGANIZATION],

We submitted the KV4006 coursework over four weeks ago and we still haven't received our grades. The module handbook states a three-week turnaround for feedback. Could you provide an update on when we can expect our results?

Thank you,
[PERSON]",KV4006 Marks - When?,"[ORGANIZATION], We submitted the KV4006 coursework over four weeks ago and we still haven't received our grades. The module handbook states a three-week turnaround for feedback. Could you provide an update on when we can expect our results? Thank you, [PERSON]","KV4006 Marks - When? [SEP] [ORGANIZATION], We submitted the KV4006 coursework over four weeks ago and we still haven't received our grades. The module handbook states a three-week turnaround for feedback. Could you provide an update on when we can expect our results? Thank you, [PERSON]",['feedback'],1,0,0,0,1,0,0,[3]
still no kv4006 marks,"hi

any update on the kv4006 marks?? its been over a month now. some of us need them for placement applications and the wait is getting ridiculous

sorry but its frustrating
dan",still no kv4006 marks,"hi

any update on the kv4006 marks?? its been over a month now. some of us need them for placement applications and the wait is getting ridiculous

sorry but its frustrating
dan",still no kv4006 marks,hi any update on the kv4006 marks?? its been over a month now. some of us need them for placement applications and the wait is getting ridiculous sorry but its frustrating dan,still no kv4006 marks [SEP] hi any update on the kv4006 marks?? its been over a month now. some of us need them for placement applications and the wait is getting ridiculous sorry but its frustrating dan,['feedback'],1,0,0,0,1,0,0,[3]
KV4006 Coursework Results?,"Hi Dr Smith,

Apologies if you've already been asked this but do you have an ETA on the KV4006 coursework marks? I know the marking period has passed and a few of us are eager to see how we did.

Thanks,
Sophie Green",[PERSON]?,"Hi [PERSON],

Apologies if you've already been asked this but do you have an [ORGANIZATION] on the KV4006 coursework marks? I know the marking period has passed and a few of us are eager to see how we did.

[SIGN_OFF]
[ORGANIZATION]",[PERSON]?,"Hi [PERSON], Apologies if you've already been asked this but do you have an [ORGANIZATION] on the KV4006 coursework marks? I know the marking period has passed and a few of us are eager to see how we did. [SIGN_OFF] [ORGANIZATION]","[PERSON]? [SEP] Hi [PERSON], Apologies if you've already been asked this but do you have an [ORGANIZATION] on the KV4006 coursework marks? I know the marking period has passed and a few of us are eager to see how we did. [SIGN_OFF] [ORGANIZATION]",['feedback'],1,0,0,0,1,0,0,[3]
Is Friday's KV4006 Lecture Cancelled?,"Dear Dr Smith,

I've heard that this Friday's KV4006 lecture might be cancelled. Could you confirm whether it's going ahead? I don't want to travel in unnecessarily but I also don't want to miss it if it's on.

Thank you,
Alex Turner",Is Friday's KV4006 Lecture Cancelled?,"[ORGANIZATION],

I've heard that this Friday's KV4006 lecture might be cancelled. Could you confirm whether it's going ahead? I don't want to travel in unnecessarily but I also don't want to miss it if it's on.

Thank you,
[PERSON]",Is Friday's KV4006 Lecture Cancelled?,"[ORGANIZATION], I've heard that this Friday's KV4006 lecture might be cancelled. Could you confirm whether it's going ahead? I don't want to travel in unnecessarily but I also don't want to miss it if it's on. Thank you, [PERSON]","Is Friday's KV4006 Lecture Cancelled? [SEP] [ORGANIZATION], I've heard that this Friday's KV4006 lecture might be cancelled. Could you confirm whether it's going ahead? I don't want to travel in unnecessarily but I also don't want to miss it if it's on. Thank you, [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
kv4006 friday lecture,"hi

is the kv4006 lecture on friday happening or not?? people are saying its cancelled but theres nothing on blackboard about it

pls let us know
connor",kv4006 friday lecture,"hi

is the kv4006 lecture on friday happening or not?? people are saying its cancelled but theres nothing on blackboard about it

pls let us know
connor",kv4006 friday lecture,hi is the kv4006 lecture on friday happening or not?? people are saying its cancelled but theres nothing on blackboard about it pls let us know connor,kv4006 friday lecture [SEP] hi is the kv4006 lecture on friday happening or not?? people are saying its cancelled but theres nothing on blackboard about it pls let us know connor,['timetabling'],1,0,0,0,0,0,1,[5]
Friday Lecture - KV4006,"Hi Dr Smith,

Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on Blackboard.

Cheers,
Tom",Friday Lecture - KV4006,"Hi [PERSON],

Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on [PERSON].

[PERSON],
[PERSON]",Friday Lecture - KV4006,"Hi [PERSON], Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on [PERSON]. [PERSON], [PERSON]","Friday Lecture - KV4006 [SEP] Hi [PERSON], Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on [PERSON]. [PERSON], [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
Do I Need to Declare ChatGPT Use?,"Dear Dr Smith,

I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools?

Thank you,
Olivia Hughes",Do I Need to [ORGANIZATION] ChatGPT Use?,"[ORGANIZATION],

I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools?

Thank you,
[PERSON]",Do I Need to [ORGANIZATION] ChatGPT Use?,"[ORGANIZATION], I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools? Thank you, [PERSON]","Do I Need to [ORGANIZATION] ChatGPT Use? [SEP] [ORGANIZATION], I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools? Thank you, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
chatgpt referencing,"hi dr smith

quick question — for kv6003 do we have to reference it if we used chatgpt?? i used it to help explain some stuff and fix some code errors. dont want to get done for academic misconduct lol

thx
megan",chatgpt referencing,"hi [PERSON] question — for [PERSON] do we have to reference it if we used chatgpt?? i used it to help explain some stuff and fix some code errors. dont want to get done for academic misconduct lol

thx
megan",chatgpt referencing,hi [PERSON] question — for [PERSON] do we have to reference it if we used chatgpt?? i used it to help explain some stuff and fix some code errors. dont want to get done for academic misconduct lol thx megan,chatgpt referencing [SEP] hi [PERSON] question — for [PERSON] do we have to reference it if we used chatgpt?? i used it to help explain some stuff and fix some code errors. dont want to get done for academic misconduct lol thx megan,['assessment'],1,0,1,0,0,0,0,[1]
AI Tool Declaration - KV6003,"Dear Dr Smith,

Could you clarify the university's policy on declaring AI tool usage for the KV6003 project? I used Claude and ChatGPT during my development process for debugging assistance and understanding certain NLP concepts. I want to ensure I'm fully compliant with academic integrity policies.

Is there a recommended way to reference these tools in the report?

Kind regards,
Zara Ahmed",AI Tool Declaration - KV6003,"[ORGANIZATION],

Could you clarify the university's policy on declaring AI tool usage for the KV6003 project? I used [PERSON] and ChatGPT during my development process for debugging assistance and understanding certain [ORGANIZATION] concepts. I want to ensure I'm fully compliant with academic integrity policies.

Is there a recommended way to reference these tools in the report?

[SIGN_OFF]
[PERSON]",AI Tool Declaration - KV6003,"[ORGANIZATION], Could you clarify the university's policy on declaring AI tool usage for the KV6003 project? I used [PERSON] and ChatGPT during my development process for debugging assistance and understanding certain [ORGANIZATION] concepts. I want to ensure I'm fully compliant with academic integrity policies. Is there a recommended way to reference these tools in the report? [SIGN_OFF] [PERSON]","AI Tool Declaration - KV6003 [SEP] [ORGANIZATION], Could you clarify the university's policy on declaring AI tool usage for the KV6003 project? I used [PERSON] and ChatGPT during my development process for debugging assistance and understanding certain [ORGANIZATION] concepts. I want to ensure I'm fully compliant with academic integrity policies. Is there a recommended way to reference these tools in the report? [SIGN_OFF] [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
Extension Request - KV6003 Project,"Dear Dr Smith,

I am writing to request an extension for my KV6003 project submission. My mother was admitted to hospital last week with a serious illness and I have been travelling home to care for her. I have medical evidence from the hospital which I can provide.

I have completed approximately 70% of my project but I need an additional two weeks to finish the remaining work. I hope you can understand the situation.

Kind regards,
Sarah Thompson",Extension Request - KV6003 Project,"[ORGANIZATION],

I am writing to request an extension for my KV6003 project submission. My mother was admitted to hospital last week with a serious illness and I have been travelling home to care for her. I have medical evidence from the hospital which I can provide.

I have completed approximately 70% of my project but I need an additional two weeks to finish the remaining work. I hope you can understand the situation.

[SIGN_OFF]
[PERSON]",Extension Request - KV6003 Project,"[ORGANIZATION], I am writing to request an extension for my KV6003 project submission. My mother was admitted to hospital last week with a serious illness and I have been travelling home to care for her. I have medical evidence from the hospital which I can provide. I have completed approximately 70% of my project but I need an additional two weeks to finish the remaining work. I hope you can understand the situation. [SIGN_OFF] [PERSON]","Extension Request - KV6003 Project [SEP] [ORGANIZATION], I am writing to request an extension for my KV6003 project submission. My mother was admitted to hospital last week with a serious illness and I have been travelling home to care for her. I have medical evidence from the hospital which I can provide. I have completed approximately 70% of my project but I need an additional two weeks to finish the remaining work. I hope you can understand the situation. [SIGN_OFF] [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
cant submit on time,"hi dr smith

i know the kv5002 assignment is due friday but i genuinely cant get it done in time. ive had really bad anxiety this semester and ive fallen behind on everything. i dont have a doctors note yet but im going to try and get one this week

is there anything u can do to help

sorry
katie",cant submit on time,"hi [PERSON]

i know the [ORGANIZATION] assignment is due friday but i genuinely cant get it done in time. ive had really bad anxiety this semester and ive fallen behind on everything. i dont have a doctors note yet but im going to try and get one this week

is there anything u can do to help

sorry
katie",cant submit on time,hi [PERSON] i know the [ORGANIZATION] assignment is due friday but i genuinely cant get it done in time. ive had really bad anxiety this semester and ive fallen behind on everything. i dont have a doctors note yet but im going to try and get one this week is there anything u can do to help sorry katie,cant submit on time [SEP] hi [PERSON] i know the [ORGANIZATION] assignment is due friday but i genuinely cant get it done in time. ive had really bad anxiety this semester and ive fallen behind on everything. i dont have a doctors note yet but im going to try and get one this week is there anything u can do to help sorry katie,['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
Bereavement - Requesting Consideration,"Dear Dr Smith,

I'm writing to inform you that my grandfather passed away last Thursday. The funeral is this week and I will need to travel to Scotland for several days. This will affect my attendance and my ability to complete the KV4006 coursework which is due next Monday.

I have a copy of the death certificate if needed. Could you advise on the process for requesting an extension or deferral under these circumstances?

Thank you for your understanding.

Regards,
Alex Turner",[ORGANIZATION],"[ORGANIZATION],

I'm writing to inform you that my grandfather passed away last Thursday. The funeral is this week and I will need to travel to Scotland for several days. This will affect my attendance and my ability to complete the KV4006 coursework which is due next Monday.

I have a copy of the death certificate if needed. Could you advise on the process for requesting an extension or deferral under these circumstances?

Thank you for your understanding.

[SIGN_OFF]
[PERSON]",[ORGANIZATION],"[ORGANIZATION], I'm writing to inform you that my grandfather passed away last Thursday. The funeral is this week and I will need to travel to Scotland for several days. This will affect my attendance and my ability to complete the KV4006 coursework which is due next Monday. I have a copy of the death certificate if needed. Could you advise on the process for requesting an extension or deferral under these circumstances? Thank you for your understanding. [SIGN_OFF] [PERSON]","[ORGANIZATION] [SEP] [ORGANIZATION], I'm writing to inform you that my grandfather passed away last Thursday. The funeral is this week and I will need to travel to Scotland for several days. This will affect my attendance and my ability to complete the KV4006 coursework which is due next Monday. I have a copy of the death certificate if needed. Could you advise on the process for requesting an extension or deferral under these circumstances? Thank you for your understanding. [SIGN_OFF] [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
been really ill,"hi

ive had really bad flu for the past week and havent been able to do any work. the kv6003 interim report is due in 3 days and ive barely started it. i know i should have started earlier but i was fine until last monday

do i need to apply for extenuating circumstances or can u just give me an extension??

thx
josh",been really ill,"hi

ive had really bad flu for the past week and havent been able to do any work. the kv6003 interim report is due in 3 days and ive barely started it. i know i should have started earlier but i was fine until last monday

do i need to apply for extenuating circumstances or can u just give me an extension??

thx
josh",been really ill,hi ive had really bad flu for the past week and havent been able to do any work. the kv6003 interim report is due in 3 days and ive barely started it. i know i should have started earlier but i was fine until last monday do i need to apply for extenuating circumstances or can u just give me an extension?? thx josh,been really ill [SEP] hi ive had really bad flu for the past week and havent been able to do any work. the kv6003 interim report is due in 3 days and ive barely started it. i know i should have started earlier but i was fine until last monday do i need to apply for extenuating circumstances or can u just give me an extension?? thx josh,['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
Mental Health Support and Extension,"Dear Dr Smith,

This is quite difficult to write but I wanted to be honest with you. I have been struggling significantly with my mental health this semester and it has severely impacted my ability to engage with my studies. I am currently receiving support from the university wellbeing service and my GP.

I am concerned about the upcoming KV5002 deadline as I have not been able to make the progress I had planned. I would like to discuss whether an extension or alternative arrangement might be possible. I can provide documentation from my counsellor if required.

I appreciate your support.

Best wishes,
Nathan Brooks",[ORGANIZATION],"[ORGANIZATION],

This is quite difficult to write but I wanted to be honest with you. I have been struggling significantly with my mental health this semester and it has severely impacted my ability to engage with my studies. I am currently receiving support from the university wellbeing service and my [ORGANIZATION].

I am concerned about the upcoming KV5002 deadline as I have not been able to make the progress I had planned. I would like to discuss whether an extension or alternative arrangement might be possible. I can provide documentation from my counsellor if required.

I appreciate your support.

Best wishes,
[PERSON]",[ORGANIZATION],"[ORGANIZATION], This is quite difficult to write but I wanted to be honest with you. I have been struggling significantly with my mental health this semester and it has severely impacted my ability to engage with my studies. I am currently receiving support from the university wellbeing service and my [ORGANIZATION]. I am concerned about the upcoming KV5002 deadline as I have not been able to make the progress I had planned. I would like to discuss whether an extension or alternative arrangement might be possible. I can provide documentation from my counsellor if required. I appreciate your support. Best wishes, [PERSON]","[ORGANIZATION] [SEP] [ORGANIZATION], This is quite difficult to write but I wanted to be honest with you. I have been struggling significantly with my mental health this semester and it has severely impacted my ability to engage with my studies. I am currently receiving support from the university wellbeing service and my [ORGANIZATION]. I am concerned about the upcoming KV5002 deadline as I have not been able to make the progress I had planned. I would like to discuss whether an extension or alternative arrangement might be possible. I can provide documentation from my counsellor if required. I appreciate your support. Best wishes, [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
Extenuating Circumstances Form - Where to Find It?,"Dear Dr Smith,

I need to submit an extenuating circumstances claim but I can't find the form on the student portal. Could you send me the link or tell me where to find it? Also, do I submit it to you directly or to the faculty office?

I need to get this in before the KV4006 deadline on Friday.

Thanks,
Sophie Green",Extenuating Circumstances Form - Where to Find It?,"[ORGANIZATION],

I need to submit an extenuating circumstances claim but I can't find the form on the student portal. Could you send me the link or tell me where to find it? Also, do I submit it to you directly or to the faculty office?

I need to get this in before the KV4006 deadline on Friday.

[SIGN_OFF]
[ORGANIZATION]",Extenuating Circumstances Form - Where to Find It?,"[ORGANIZATION], I need to submit an extenuating circumstances claim but I can't find the form on the student portal. Could you send me the link or tell me where to find it? Also, do I submit it to you directly or to the faculty office? I need to get this in before the KV4006 deadline on Friday. [SIGN_OFF] [ORGANIZATION]","Extenuating Circumstances Form - Where to Find It? [SEP] [ORGANIZATION], I need to submit an extenuating circumstances claim but I can't find the form on the student portal. Could you send me the link or tell me where to find it? Also, do I submit it to you directly or to the faculty office? I need to get this in before the KV4006 deadline on Friday. [SIGN_OFF] [ORGANIZATION]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
car accident,"hi dr smith

i was in a car accident on saturday and ive broken my wrist. im right handed so i cant type properly and im struggling to do any work on my kv6003 project. the hospital gave me a sick note for 3 weeks

what should i do about my deadlines?? i have the kv6003 submission and the kv5002 assignment both coming up

sorry
liam",car accident,"hi [PERSON]

i was in a car accident on saturday and ive broken my wrist. im right handed so i cant type properly and im struggling to do any work on my kv6003 project. the hospital gave me a sick note for 3 weeks

what should i do about my deadlines?? i have the [PERSON] submission and the [ORGANIZATION] assignment both coming up

sorry
[PERSON]",car accident,hi [PERSON] i was in a car accident on saturday and ive broken my wrist. im right handed so i cant type properly and im struggling to do any work on my kv6003 project. the hospital gave me a sick note for 3 weeks what should i do about my deadlines?? i have the [PERSON] submission and the [ORGANIZATION] assignment both coming up sorry [PERSON],car accident [SEP] hi [PERSON] i was in a car accident on saturday and ive broken my wrist. im right handed so i cant type properly and im struggling to do any work on my kv6003 project. the hospital gave me a sick note for 3 weeks what should i do about my deadlines?? i have the [PERSON] submission and the [ORGANIZATION] assignment both coming up sorry [PERSON],['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
Pregnancy Related Absence,"Dear Dr Smith,

I wanted to let you know that I am currently pregnant and have been experiencing severe morning sickness which has caused me to miss several lectures and fall behind on my KV5002 coursework. My midwife has written a letter confirming my condition and recommending reduced workload.

I would like to discuss what support is available and whether deadline adjustments can be made. I am committed to completing the module but I need some flexibility.

Thank you for your understanding.

Kind regards,
Chloe Martinez",Pregnancy Related Absence,"[ORGANIZATION],

I wanted to let you know that I am currently pregnant and have been experiencing severe morning sickness which has caused me to miss several lectures and fall behind on my KV5002 coursework. My midwife has written a letter confirming my condition and recommending reduced workload.

I would like to discuss what support is available and whether deadline adjustments can be made. I am committed to completing the module but I need some flexibility.

Thank you for your understanding.

[SIGN_OFF]
[PERSON]",Pregnancy Related Absence,"[ORGANIZATION], I wanted to let you know that I am currently pregnant and have been experiencing severe morning sickness which has caused me to miss several lectures and fall behind on my KV5002 coursework. My midwife has written a letter confirming my condition and recommending reduced workload. I would like to discuss what support is available and whether deadline adjustments can be made. I am committed to completing the module but I need some flexibility. Thank you for your understanding. [SIGN_OFF] [PERSON]","Pregnancy Related Absence [SEP] [ORGANIZATION], I wanted to let you know that I am currently pregnant and have been experiencing severe morning sickness which has caused me to miss several lectures and fall behind on my KV5002 coursework. My midwife has written a letter confirming my condition and recommending reduced workload. I would like to discuss what support is available and whether deadline adjustments can be made. I am committed to completing the module but I need some flexibility. Thank you for your understanding. [SIGN_OFF] [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
