subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean
Database Software for KV4006,"Dear Dr Smith,

In the last lecture you mentioned we'd need MySQL Workbench for the practical sessions. Is this available on the university lab computers or do we need to install it ourselves? If we need to install it, is there a student licence or should we use the community edition?

Thank you,
Priya Patel",Database Software for KV4006,"Dear Dr Smith,

In the last lecture you mentioned we'd need MySQL Workbench for the practical sessions. Is this available on the university lab computers or do we need to install it ourselves? If we need to install it, is there a student licence or should we use the community edition?

[SIGN_OFF]
[PERSON]",Database Software for KV4006,"Dear Dr Smith, In the last lecture you mentioned we'd need MySQL Workbench for the practical sessions. Is this available on the university lab computers or do we need to install it ourselves? If we need to install it, is there a student licence or should we use the community edition? [SIGN_OFF] [PERSON]","Database Software for KV4006 [SEP] Dear Dr Smith, In the last lecture you mentioned we'd need MySQL Workbench for the practical sessions. Is this available on the university lab computers or do we need to install it ourselves? If we need to install it, is there a student licence or should we use the community edition? [SIGN_OFF] [PERSON]"
CANT FIND ANYTHING ON BLACKBOARD,"HI DR SMITH

I CANT FIND ANY OF THE RESOURCES FOR KV6003 ON BLACKBOARD. THE MODULE PAGE JUST HAS THE ASSIGNMENT BRIEF AND NOTHING ELSE. WHERE ARE THE LECTURE SLIDES AND THE READING LIST AND THE PROJECT GUIDELINES??

AM I LOOKING IN THE WRONG PLACE??

MICHAEL",CANT FIND ANYTHING ON BLACKBOARD,"HI DR SMITH

I CANT FIND ANY OF THE RESOURCES FOR KV6003 ON BLACKBOARD. THE MODULE PAGE JUST HAS THE ASSIGNMENT BRIEF AND NOTHING ELSE. WHERE ARE THE LECTURE SLIDES AND THE READING LIST AND THE PROJECT GUIDELINES??

AM I LOOKING IN THE WRONG PLACE??

MICHAEL",CANT FIND ANYTHING ON BLACKBOARD,HI DR SMITH I CANT FIND ANY OF THE RESOURCES FOR KV6003 ON BLACKBOARD. THE MODULE PAGE JUST HAS THE ASSIGNMENT BRIEF AND NOTHING ELSE. WHERE ARE THE LECTURE SLIDES AND THE READING LIST AND THE PROJECT GUIDELINES?? AM I LOOKING IN THE WRONG PLACE?? MICHAEL,CANT FIND ANYTHING ON BLACKBOARD [SEP] HI DR SMITH I CANT FIND ANY OF THE RESOURCES FOR KV6003 ON BLACKBOARD. THE MODULE PAGE JUST HAS THE ASSIGNMENT BRIEF AND NOTHING ELSE. WHERE ARE THE LECTURE SLIDES AND THE READING LIST AND THE PROJECT GUIDELINES?? AM I LOOKING IN THE WRONG PLACE?? MICHAEL
Additional Resources for Machine Learning Topic,"Dear Dr Smith,

I've been going through the KV5002 content on machine learning algorithms and I'm finding the lecture material quite high-level. Are there any additional resources you'd recommend — YouTube channels, online courses, or supplementary textbooks — that might help me understand the concepts in more depth?

I learn better with worked examples if that helps narrow it down.

Best wishes,
Rebecca Lawrence",Additional Resources for Machine Learning Topic,"Dear Dr Smith,

I've been going through the KV5002 content on machine learning algorithms and I'm finding the lecture material quite high-level. Are there any additional resources you'd recommend — YouTube channels, online courses, or supplementary textbooks — that might help me understand the concepts in more depth?

I learn better with worked examples if that helps narrow it down.

[SIGN_OFF]
[PERSON]",Additional Resources for Machine Learning Topic,"Dear Dr Smith, I've been going through the KV5002 content on machine learning algorithms and I'm finding the lecture material quite high-level. Are there any additional resources you'd recommend — YouTube channels, online courses, or supplementary textbooks — that might help me understand the concepts in more depth? I learn better with worked examples if that helps narrow it down. [SIGN_OFF] [PERSON]","Additional Resources for Machine Learning Topic [SEP] Dear Dr Smith, I've been going through the KV5002 content on machine learning algorithms and I'm finding the lecture material quite high-level. Are there any additional resources you'd recommend — YouTube channels, online courses, or supplementary textbooks — that might help me understand the concepts in more depth? I learn better with worked examples if that helps narrow it down. [SIGN_OFF] [PERSON]"
slides from week 3??,"hi

i know this is ages ago but is there any chance u could reupload the week 3 slides for kv4006?? the link on blackboard is broken and just takes me to a blank page. ive asked a few others and they have the same problem

sorry
liam",slides from week 3??,"hi

i know this is ages ago but is there any chance u could reupload the week 3 slides for kv4006?? the link on blackboard is broken and just takes me to a blank page. ive asked a few others and they have the same problem

sorry
liam",slides from week 3??,hi i know this is ages ago but is there any chance u could reupload the week 3 slides for kv4006?? the link on blackboard is broken and just takes me to a blank page. ive asked a few others and they have the same problem sorry liam,slides from week 3?? [SEP] hi i know this is ages ago but is there any chance u could reupload the week 3 slides for kv4006?? the link on blackboard is broken and just takes me to a blank page. ive asked a few others and they have the same problem sorry liam
Access to University Software Remotely,"Dear Dr Smith,

I'm a commuter student and I do most of my work from home. Is there a way to access the university's software remotely — specifically the tools we use for KV4006 like MySQL and the Oracle database? I heard there's a virtual desktop but I'm not sure how to set it up.

Any guidance would be appreciated.

Thanks,
Nathan Brooks",Access to University Software Remotely,"Dear Dr Smith,

I'm a commuter student and I do most of my work from home. Is there a way to access the university's software remotely — specifically the tools we use for KV4006 like MySQL and the Oracle database? I heard there's a virtual desktop but I'm not sure how to set it up.

Any guidance would be appreciated.

[SIGN_OFF]
[PERSON]",Access to University Software Remotely,"Dear Dr Smith, I'm a commuter student and I do most of my work from home. Is there a way to access the university's software remotely — specifically the tools we use for KV4006 like MySQL and the Oracle database? I heard there's a virtual desktop but I'm not sure how to set it up. Any guidance would be appreciated. [SIGN_OFF] [PERSON]","Access to University Software Remotely [SEP] Dear Dr Smith, I'm a commuter student and I do most of my work from home. Is there a way to access the university's software remotely — specifically the tools we use for KV4006 like MySQL and the Oracle database? I heard there's a virtual desktop but I'm not sure how to set it up. Any guidance would be appreciated. [SIGN_OFF] [PERSON]"
reading list not working,"the reading list link on blackboard for kv5002 takes me to the library page but all the links to the actual books and papers say 'access denied'. i think the library subscriptions might have expired or something??

can u send the pdfs directly or tell me how to access them

thx
katie",reading list not working,"the reading list link on blackboard for kv5002 takes me to the library page but all the links to the actual books and papers say 'access denied'. i think the library subscriptions might have expired or something??

can u send the pdfs directly or tell me how to access them

[SIGN_OFF]
katie",reading list not working,the reading list link on blackboard for kv5002 takes me to the library page but all the links to the actual books and papers say 'access denied'. i think the library subscriptions might have expired or something?? can u send the pdfs directly or tell me how to access them [SIGN_OFF] katie,reading list not working [SEP] the reading list link on blackboard for kv5002 takes me to the library page but all the links to the actual books and papers say 'access denied'. i think the library subscriptions might have expired or something?? can u send the pdfs directly or tell me how to access them [SIGN_OFF] katie
KV6003 Project Template,"Dear Dr Smith,

Is there a report template we should be using for the KV6003 project submission? I want to make sure I'm following the correct formatting and structure. If there isn't a template, could you advise on the expected format — font size, line spacing, heading structure etc.?

Thank you,
Zara Ahmed",KV6003 Project Template,"Dear Dr Smith,

Is there a report template we should be using for the KV6003 project submission? I want to make sure I'm following the correct formatting and structure. If there isn't a template, could you advise on the expected format — font size, line spacing, heading structure etc.?

[SIGN_OFF]
[PERSON]",KV6003 Project Template,"Dear Dr Smith, Is there a report template we should be using for the KV6003 project submission? I want to make sure I'm following the correct formatting and structure. If there isn't a template, could you advise on the expected format — font size, line spacing, heading structure etc.? [SIGN_OFF] [PERSON]","KV6003 Project Template [SEP] Dear Dr Smith, Is there a report template we should be using for the KV6003 project submission? I want to make sure I'm following the correct formatting and structure. If there isn't a template, could you advise on the expected format — font size, line spacing, heading structure etc.? [SIGN_OFF] [PERSON]"
sample code from lecture,"hi dr smith

in the kv5002 lecture on wednesday you showed some sample code for the observer pattern. are you going to upload that code to blackboard or github?? i tried to copy it down during the lecture but i missed some of it

cheers
josh",sample code from lecture,"hi dr smith

in the kv5002 lecture on wednesday you showed some sample code for the observer pattern. are you going to upload that code to blackboard or github?? i tried to copy it down during the lecture but i missed some of it

[SIGN_OFF]
josh",sample code from lecture,hi dr smith in the kv5002 lecture on wednesday you showed some sample code for the observer pattern. are you going to upload that code to blackboard or github?? i tried to copy it down during the lecture but i missed some of it [SIGN_OFF] josh,sample code from lecture [SEP] hi dr smith in the kv5002 lecture on wednesday you showed some sample code for the observer pattern. are you going to upload that code to blackboard or github?? i tried to copy it down during the lecture but i missed some of it [SIGN_OFF] josh
Lecture Recording Quality Issue,"Dear Dr Smith,

I've been watching the KV4006 Panopto recordings and the audio quality on the last three recordings has been very poor — there's a constant buzzing sound and your voice cuts out frequently. It's quite difficult to follow.

Is there anything that can be done to fix this? Could you perhaps upload the slides with audio notes as an alternative?

Thanks,
Sophie Green",Lecture Recording Quality Issue,"Dear Dr Smith,

I've been watching the KV4006 Panopto recordings and the audio quality on the last three recordings has been very poor — there's a constant buzzing sound and your voice cuts out frequently. It's quite difficult to follow.

Is there anything that can be done to fix this? Could you perhaps upload the slides with audio notes as an alternative?

[SIGN_OFF]
Sophie Green",Lecture Recording Quality Issue,"Dear Dr Smith, I've been watching the KV4006 Panopto recordings and the audio quality on the last three recordings has been very poor — there's a constant buzzing sound and your voice cuts out frequently. It's quite difficult to follow. Is there anything that can be done to fix this? Could you perhaps upload the slides with audio notes as an alternative? [SIGN_OFF] Sophie Green","Lecture Recording Quality Issue [SEP] Dear Dr Smith, I've been watching the KV4006 Panopto recordings and the audio quality on the last three recordings has been very poor — there's a constant buzzing sound and your voice cuts out frequently. It's quite difficult to follow. Is there anything that can be done to fix this? Could you perhaps upload the slides with audio notes as an alternative? [SIGN_OFF] Sophie Green"
need the dataset,"hi

where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work

this is urgent because the assignment is due next week

dan",need the dataset,"hi

where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work

this is urgent because the assignment is due next week

dan",need the dataset,hi where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work this is urgent because the assignment is due next week dan,need the dataset [SEP] hi where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work this is urgent because the assignment is due next week dan
Textbook Recommendation,"Dear Dr Smith,

I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one.

Many thanks,
Alex Turner",Textbook Recommendation,"Dear Dr Smith,

I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one.

[SIGN_OFF]
[PERSON]",Textbook Recommendation,"Dear Dr Smith, I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one. [SIGN_OFF] [PERSON]","Textbook Recommendation [SEP] Dear Dr Smith, I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one. [SIGN_OFF] [PERSON]"
cant open the files,"hi

the files u uploaded for kv6003 week 9 are in a .ipynb format and i dont know how to open them. i dont have jupyter installed yet. is there a way to view them without installing anything?? or can u upload them as pdfs too

thx
connor",cant open the files,"hi

the files u uploaded for kv6003 week 9 are in a .ipynb format and i dont know how to open them. i dont have jupyter installed yet. is there a way to view them without installing anything?? or can u upload them as pdfs too

[SIGN_OFF]
connor",cant open the files,hi the files u uploaded for kv6003 week 9 are in a .ipynb format and i dont know how to open them. i dont have jupyter installed yet. is there a way to view them without installing anything?? or can u upload them as pdfs too [SIGN_OFF] connor,cant open the files [SEP] hi the files u uploaded for kv6003 week 9 are in a .ipynb format and i dont know how to open them. i dont have jupyter installed yet. is there a way to view them without installing anything?? or can u upload them as pdfs too [SIGN_OFF] connor
Week 8 Slides Still Missing,"Hi Dr Smith,

Just following up on this — the Week 8 slides for KV5002 still haven't been uploaded. A few of us have been waiting as we need them for the assignment. Could you let us know when they'll be available?

Thanks,
James",Week 8 Slides Still Missing,"Hi [PERSON],

Just following up on this — the Week 8 slides for KV5002 still haven't been uploaded. A few of us have been waiting as we need them for the assignment. Could you let us know when they'll be available?

[SIGN_OFF]
James",Week 8 Slides Still Missing,"Hi [PERSON], Just following up on this — the Week 8 slides for KV5002 still haven't been uploaded. A few of us have been waiting as we need them for the assignment. Could you let us know when they'll be available? [SIGN_OFF] James","Week 8 Slides Still Missing [SEP] Hi [PERSON], Just following up on this — the Week 8 slides for KV5002 still haven't been uploaded. A few of us have been waiting as we need them for the assignment. Could you let us know when they'll be available? [SIGN_OFF] James"
Tutorial Solutions,"Dear Dr Smith,

Are you planning to release the solutions for the KV4006 tutorial worksheets? We've been working through them in study groups but we'd like to check our answers. Even if it's just for the first few weeks that would be helpful.

Best regards,
Isla Ferguson",Tutorial Solutions,"Dear Dr Smith,

Are you planning to release the solutions for the KV4006 tutorial worksheets? We've been working through them in study groups but we'd like to check our answers. Even if it's just for the first few weeks that would be helpful.

Best regards,
[PERSON]",Tutorial Solutions,"Dear Dr Smith, Are you planning to release the solutions for the KV4006 tutorial worksheets? We've been working through them in study groups but we'd like to check our answers. Even if it's just for the first few weeks that would be helpful. Best regards, [PERSON]","Tutorial Solutions [SEP] Dear Dr Smith, Are you planning to release the solutions for the KV4006 tutorial worksheets? We've been working through them in study groups but we'd like to check our answers. Even if it's just for the first few weeks that would be helpful. Best regards, [PERSON]"
kv6003 tools and software list,"hi

is there a complete list anywhere of all the software and tools we need for kv6003?? ive been installing things as we go but i feel like im missing stuff. python jupyter git and what else??

also do we need a specific version of scikit-learn

thx
tom",kv6003 tools and software list,"hi

is there a complete list anywhere of all the software and tools we need for kv6003?? ive been installing things as we go but i feel like im missing stuff. python jupyter git and what else??

also do we need a specific version of scikit-learn

[SIGN_OFF]
tom",kv6003 tools and software list,hi is there a complete list anywhere of all the software and tools we need for kv6003?? ive been installing things as we go but i feel like im missing stuff. python jupyter git and what else?? also do we need a specific version of scikit-learn [SIGN_OFF] tom,kv6003 tools and software list [SEP] hi is there a complete list anywhere of all the software and tools we need for kv6003?? ive been installing things as we go but i feel like im missing stuff. python jupyter git and what else?? also do we need a specific version of scikit-learn [SIGN_OFF] tom
Library Access for External Journals,"Dear Dr Smith,

I'm trying to access some IEEE and ACM papers for my KV6003 literature review but the library portal keeps asking me to pay. I thought we had institutional access to these databases? Am I doing something wrong or do I need to request access separately?

Thank you,
Hannah Wright",Library Access for External Journals,"Dear Dr Smith,

I'm trying to access some IEEE and ACM papers for my KV6003 literature review but the library portal keeps asking me to pay. I thought we had institutional access to these databases? Am I doing something wrong or do I need to request access separately?

[SIGN_OFF]
[PERSON]",Library Access for External Journals,"Dear Dr Smith, I'm trying to access some IEEE and ACM papers for my KV6003 literature review but the library portal keeps asking me to pay. I thought we had institutional access to these databases? Am I doing something wrong or do I need to request access separately? [SIGN_OFF] [PERSON]","Library Access for External Journals [SEP] Dear Dr Smith, I'm trying to access some IEEE and ACM papers for my KV6003 literature review but the library portal keeps asking me to pay. I thought we had institutional access to these databases? Am I doing something wrong or do I need to request access separately? [SIGN_OFF] [PERSON]"
Blackboard App Not Syncing,"hi dr smith

the blackboard app on my phone isnt syncing properly for any of my modules. kv5002 and kv4006 both show old content from last semester. ive tried logging out and back in but nothing changes. i know this is probably an IT thing but do u know if anyone else has reported it??

sorry to bother u with this
chloe",Blackboard App Not Syncing,"hi dr smith

the blackboard app on my phone isnt syncing properly for any of my modules. kv5002 and kv4006 both show old content from last semester. ive tried logging out and back in but nothing changes. i know this is probably an IT thing but do u know if anyone else has reported it??

sorry to bother u with this
chloe",Blackboard App Not Syncing,hi dr smith the blackboard app on my phone isnt syncing properly for any of my modules. kv5002 and kv4006 both show old content from last semester. ive tried logging out and back in but nothing changes. i know this is probably an IT thing but do u know if anyone else has reported it?? sorry to bother u with this chloe,Blackboard App Not Syncing [SEP] hi dr smith the blackboard app on my phone isnt syncing properly for any of my modules. kv5002 and kv4006 both show old content from last semester. ive tried logging out and back in but nothing changes. i know this is probably an IT thing but do u know if anyone else has reported it?? sorry to bother u with this chloe
KV6003 Example Projects,"Dear Dr Smith,

Are there any example projects or past student submissions for KV6003 that we can look at? It would be really helpful to see what a first-class project looks like in terms of structure and scope. I'm not looking to copy anything — I just want to calibrate my expectations.

Thank you,
Marcus Johnson",KV6003 Example Projects,"Dear Dr Smith,

Are there any example projects or past student submissions for KV6003 that we can look at? It would be really helpful to see what a first-class project looks like in terms of structure and scope. I'm not looking to copy anything — I just want to calibrate my expectations.

[SIGN_OFF]
[PERSON]",KV6003 Example Projects,"Dear Dr Smith, Are there any example projects or past student submissions for KV6003 that we can look at? It would be really helpful to see what a first-class project looks like in terms of structure and scope. I'm not looking to copy anything — I just want to calibrate my expectations. [SIGN_OFF] [PERSON]","KV6003 Example Projects [SEP] Dear Dr Smith, Are there any example projects or past student submissions for KV6003 that we can look at? It would be really helpful to see what a first-class project looks like in terms of structure and scope. I'm not looking to copy anything — I just want to calibrate my expectations. [SIGN_OFF] [PERSON]"
video tutorials for sql,"hi

im really struggling with the sql stuff in kv4006. the lectures go too fast for me. do u know any good youtube channels or online tutorials that explain sql for beginners?? ive tried w3schools but i need something more detailed

thx
tyler",video tutorials for sql,"hi

im really struggling with the sql stuff in kv4006. the lectures go too fast for me. do u know any good youtube channels or online tutorials that explain sql for beginners?? ive tried w3schools but i need something more detailed

[SIGN_OFF]
[SIGN_OFF]",video tutorials for sql,hi im really struggling with the sql stuff in kv4006. the lectures go too fast for me. do u know any good youtube channels or online tutorials that explain sql for beginners?? ive tried w3schools but i need something more detailed [SIGN_OFF] [SIGN_OFF],video tutorials for sql [SEP] hi im really struggling with the sql stuff in kv4006. the lectures go too fast for me. do u know any good youtube channels or online tutorials that explain sql for beginners?? ive tried w3schools but i need something more detailed [SIGN_OFF] [SIGN_OFF]
Panopto Recording Missing - Week 10,"Dear Dr Smith,

The Panopto recording for the Week 10 KV5002 lecture doesn't seem to be available. All the other weeks are there but Week 10 is missing. Could you check whether it was recorded?

This was the session on design patterns which I need to revise for the assignment.

Thanks,
Ellie Saunders",Panopto Recording Missing - Week 10,"Dear Dr Smith,

The Panopto recording for the Week 10 KV5002 lecture doesn't seem to be available. All the other weeks are there but Week 10 is missing. Could you check whether it was recorded?

This was the session on design patterns which I need to revise for the assignment.

[SIGN_OFF]
[PERSON]",Panopto Recording Missing - Week 10,"Dear Dr Smith, The Panopto recording for the Week 10 KV5002 lecture doesn't seem to be available. All the other weeks are there but Week 10 is missing. Could you check whether it was recorded? This was the session on design patterns which I need to revise for the assignment. [SIGN_OFF] [PERSON]","Panopto Recording Missing - Week 10 [SEP] Dear Dr Smith, The Panopto recording for the Week 10 KV5002 lecture doesn't seem to be available. All the other weeks are there but Week 10 is missing. Could you check whether it was recorded? This was the session on design patterns which I need to revise for the assignment. [SIGN_OFF] [PERSON]"
printing credits for poster,"hi dr smith

for the kv6003 poster presentation do we have to pay for the printing ourselves or does the department cover it?? also what size does the poster need to be and is there a template

cheers
will",printing credits for poster,"hi dr smith

for the kv6003 poster presentation do we have to pay for the printing ourselves or does the department cover it?? also what size does the poster need to be and is there a template

[SIGN_OFF]
will",printing credits for poster,hi dr smith for the kv6003 poster presentation do we have to pay for the printing ourselves or does the department cover it?? also what size does the poster need to be and is there a template [SIGN_OFF] will,printing credits for poster [SEP] hi dr smith for the kv6003 poster presentation do we have to pay for the printing ourselves or does the department cover it?? also what size does the poster need to be and is there a template [SIGN_OFF] will
Access to Kaggle Datasets,"Dear Dr Smith,

For my KV6003 project I want to use a dataset from Kaggle to supplement my AI-generated emails. Is there any issue with using external datasets? Do I need to check licensing or reference it in a particular way?

Also, is there university guidance on storing third-party data in my GitHub repository?

Kind regards,
Amara Okafor",Access to Kaggle Datasets,"Dear Dr Smith,

For my KV6003 project I want to use a dataset from Kaggle to supplement my AI-generated emails. Is there any issue with using external datasets? Do I need to check licensing or reference it in a particular way?

Also, is there university guidance on storing third-party data in my GitHub repository?

[SIGN_OFF]
Amara Okafor",Access to Kaggle Datasets,"Dear Dr Smith, For my KV6003 project I want to use a dataset from Kaggle to supplement my AI-generated emails. Is there any issue with using external datasets? Do I need to check licensing or reference it in a particular way? Also, is there university guidance on storing third-party data in my GitHub repository? [SIGN_OFF] Amara Okafor","Access to Kaggle Datasets [SEP] Dear Dr Smith, For my KV6003 project I want to use a dataset from Kaggle to supplement my AI-generated emails. Is there any issue with using external datasets? Do I need to check licensing or reference it in a particular way? Also, is there university guidance on storing third-party data in my GitHub repository? [SIGN_OFF] Amara Okafor"
week 7 workshop handout,"hi

did u hand something out in the week 7 kv4006 workshop?? i wasnt there and someone said there was a printed sheet with practice questions. is there a digital version on blackboard??

ta
poppy",week 7 workshop handout,"hi

did u hand something out in the week 7 kv4006 workshop?? i wasnt there and someone said there was a printed sheet with practice questions. is there a digital version on blackboard??

ta
poppy",week 7 workshop handout,hi did u hand something out in the week 7 kv4006 workshop?? i wasnt there and someone said there was a printed sheet with practice questions. is there a digital version on blackboard?? ta poppy,week 7 workshop handout [SEP] hi did u hand something out in the week 7 kv4006 workshop?? i wasnt there and someone said there was a printed sheet with practice questions. is there a digital version on blackboard?? ta poppy
LaTeX or Word?,"Dear Dr Smith,

Is there a preference for whether we write the KV6003 report in LaTeX or Microsoft Word? I'm comfortable with both but I want to make sure there isn't a required format. Some modules insist on Word for Turnitin compatibility.

Thank you,
Grace Li",LaTeX or Word?,"Dear Dr Smith,

Is there a preference for whether we write the KV6003 report in LaTeX or Microsoft Word? I'm comfortable with both but I want to make sure there isn't a required format. Some modules insist on Word for Turnitin compatibility.

[SIGN_OFF]
[PERSON]",LaTeX or Word?,"Dear Dr Smith, Is there a preference for whether we write the KV6003 report in LaTeX or Microsoft Word? I'm comfortable with both but I want to make sure there isn't a required format. Some modules insist on Word for Turnitin compatibility. [SIGN_OFF] [PERSON]","LaTeX or Word? [SEP] Dear Dr Smith, Is there a preference for whether we write the KV6003 report in LaTeX or Microsoft Word? I'm comfortable with both but I want to make sure there isn't a required format. Some modules insist on Word for Turnitin compatibility. [SIGN_OFF] [PERSON]"
SPACY INSTALLATION NOT WORKING,"HI DR SMITH

IM TRYING TO INSTALL SPACY FOR MY KV6003 PROJECT BUT IT KEEPS FAILING WITH AN ERROR ABOUT VISUAL C++ BUILD TOOLS. IVE BEEN TRYING FOR 2 DAYS AND NOTHING WORKS. IVE TRIED PIP INSTALL AND CONDA AND NEITHER WORK.

CAN U HELP OR IS THERE AN IT PERSON WHO CAN

MICHAEL",SPACY INSTALLATION NOT WORKING,"HI DR SMITH

IM TRYING TO INSTALL SPACY FOR MY KV6003 PROJECT BUT IT KEEPS FAILING WITH AN ERROR ABOUT VISUAL C++ BUILD TOOLS. IVE BEEN TRYING FOR 2 DAYS AND NOTHING WORKS. IVE TRIED PIP INSTALL AND CONDA AND NEITHER WORK.

CAN U HELP OR IS THERE AN IT PERSON WHO CAN

MICHAEL",SPACY INSTALLATION NOT WORKING,HI DR SMITH IM TRYING TO INSTALL SPACY FOR MY KV6003 PROJECT BUT IT KEEPS FAILING WITH AN ERROR ABOUT VISUAL C++ BUILD TOOLS. IVE BEEN TRYING FOR 2 DAYS AND NOTHING WORKS. IVE TRIED PIP INSTALL AND CONDA AND NEITHER WORK. CAN U HELP OR IS THERE AN IT PERSON WHO CAN MICHAEL,SPACY INSTALLATION NOT WORKING [SEP] HI DR SMITH IM TRYING TO INSTALL SPACY FOR MY KV6003 PROJECT BUT IT KEEPS FAILING WITH AN ERROR ABOUT VISUAL C++ BUILD TOOLS. IVE BEEN TRYING FOR 2 DAYS AND NOTHING WORKS. IVE TRIED PIP INSTALL AND CONDA AND NEITHER WORK. CAN U HELP OR IS THERE AN IT PERSON WHO CAN MICHAEL
recommended IDE,"hi dr smith

what IDE do u recommend for kv5002?? ive been using notepad++ but i think i need something better. is pycharm free for students or should i use vs code

cheers
sam",recommended IDE,"hi dr smith

what IDE do u recommend for kv5002?? ive been using notepad++ but i think i need something better. is pycharm free for students or should i use vs code

[SIGN_OFF]
sam",recommended IDE,hi dr smith what IDE do u recommend for kv5002?? ive been using notepad++ but i think i need something better. is pycharm free for students or should i use vs code [SIGN_OFF] sam,recommended IDE [SEP] hi dr smith what IDE do u recommend for kv5002?? ive been using notepad++ but i think i need something better. is pycharm free for students or should i use vs code [SIGN_OFF] sam
Annotated Bibliography Template,"Dear Dr Smith,

For the KV6003 literature review, do you have a template or example of an annotated bibliography? I want to organise my sources properly before I start writing and I think a structured approach would help.

If there isn't a template, could you recommend a format?

Best wishes,
Nina Patel",Annotated Bibliography Template,"Dear Dr Smith,

For the KV6003 literature review, do you have a template or example of an annotated bibliography? I want to organise my sources properly before I start writing and I think a structured approach would help.

If there isn't a template, could you recommend a format?

[SIGN_OFF]
[PERSON]",Annotated Bibliography Template,"Dear Dr Smith, For the KV6003 literature review, do you have a template or example of an annotated bibliography? I want to organise my sources properly before I start writing and I think a structured approach would help. If there isn't a template, could you recommend a format? [SIGN_OFF] [PERSON]","Annotated Bibliography Template [SEP] Dear Dr Smith, For the KV6003 literature review, do you have a template or example of an annotated bibliography? I want to organise my sources properly before I start writing and I think a structured approach would help. If there isn't a template, could you recommend a format? [SIGN_OFF] [PERSON]"
Module Registration Issue,"Dear Dr Smith,

I'm trying to register for KV6003 on the student portal but the system says the module is full. I need this module to complete my degree this year. Could you advise on whether additional places will be made available or if there's someone I should contact to resolve this?

Thank you,
Sarah Thompson",Module Registration Issue,"Dear Dr Smith,

I'm trying to register for KV6003 on the student portal but the system says the module is full. I need this module to complete my degree this year. Could you advise on whether additional places will be made available or if there's someone I should contact to resolve this?

[SIGN_OFF]
[PERSON]",Module Registration Issue,"Dear Dr Smith, I'm trying to register for KV6003 on the student portal but the system says the module is full. I need this module to complete my degree this year. Could you advise on whether additional places will be made available or if there's someone I should contact to resolve this? [SIGN_OFF] [PERSON]","Module Registration Issue [SEP] Dear Dr Smith, I'm trying to register for KV6003 on the student portal but the system says the module is full. I need this module to complete my degree this year. Could you advise on whether additional places will be made available or if there's someone I should contact to resolve this? [SIGN_OFF] [PERSON]"
changing modules,"hi

i want to drop kv4006 and switch to a different module. is it too late to do this?? who do i need to speak to about it

cheers
jake",changing modules,"hi

i want to drop kv4006 and switch to a different module. is it too late to do this?? who do i need to speak to about it

[SIGN_OFF]
jake",changing modules,hi i want to drop kv4006 and switch to a different module. is it too late to do this?? who do i need to speak to about it [SIGN_OFF] jake,changing modules [SEP] hi i want to drop kv4006 and switch to a different module. is it too late to do this?? who do i need to speak to about it [SIGN_OFF] jake
Student ID Card Issue,"Dear Dr Smith,

Apologies for emailing you about this but I wasn't sure who else to contact. My student ID card has stopped working and I can't get into the Computing building or the labs. I've been to the student hub but they said it would take a week to replace.

Is there a temporary access solution in the meantime? I have practical sessions this week that I can't miss.

Kind regards,
Priya Patel",Student ID Card Issue,"Dear Dr Smith,

Apologies for emailing you about this but I wasn't sure who else to contact. My student ID card has stopped working and I can't get into the Computing building or the labs. I've been to the student hub but they said it would take a week to replace.

Is there a temporary access solution in the meantime? I have practical sessions this week that I can't miss.

[SIGN_OFF]
[PERSON]",Student ID Card Issue,"Dear Dr Smith, Apologies for emailing you about this but I wasn't sure who else to contact. My student ID card has stopped working and I can't get into the Computing building or the labs. I've been to the student hub but they said it would take a week to replace. Is there a temporary access solution in the meantime? I have practical sessions this week that I can't miss. [SIGN_OFF] [PERSON]","Student ID Card Issue [SEP] Dear Dr Smith, Apologies for emailing you about this but I wasn't sure who else to contact. My student ID card has stopped working and I can't get into the Computing building or the labs. I've been to the student hub but they said it would take a week to replace. Is there a temporary access solution in the meantime? I have practical sessions this week that I can't miss. [SIGN_OFF] [PERSON]"
